number_runner,last_name,name,gender,age,category,official_time,chip_time,ranking
12109,Acero,Marco,M,18-99,12K,2:47:17,2:47:17,61
12077,Agaestigue Gallirgos,Yolver Michelt,M,18-99,12K,1:25:32,1:25:32,7
80032,Aliaga Yanapa,Vladimir,M,18-99,80K,14:40:50,14:40:50,10
25070,Allcca Romero,Giovana,F,18-99,25K,7:23:16,7:23:16,75
12097,Alvarado Lopez,Richard,M,18-99,12K,2:35:51,2:35:51,52
50051,Alvarez Rodriguez,Chus,M,18-99,50K,7:07:32,7:07:32,2
12022,Andia,Gloria,F,18-99,12K,2:41:59,2:41:59,54
80015,Antezana Fernández,Maybel,F,18-99,80K,16:01:08,16:01:08,14
12103,Aquino Ocampo,José Baltazar,M,18-99,12K,1:50:45,1:50:45,19
25057,Arbieto Torres,Carmen Julia,F,18-99,25K,5:18:40,5:18:40,38
12107,Aries Laos,Elick Mayte,F,18-99,25K,5:25:13,5:25:13,41
80007,Ayala Escribas,Charles,M,18-99,80K,14:05:10,14:05:10,7
12044,Azaña Garcia,Jair Alexander,M,18-99,12K,3:04:08,3:04:08,69
12076,Becerra Mondragon,Winney,M,18-99,12K,1:47:56,1:47:56,18
50039,Bello,Giselle,F,18-99,50K,12:07:40,12:07:40,21
25067,Benavente Guillen,Catherine,F,18-99,25K,8:25:15,8:25:15,82
12018,Benites Toledo,Vanessa Sophia,F,18-99,12K,3:26:04,3:26:04,72
25042,Biro,Ildiko Csilla,F,18-99,25K,4:23:08,4:23:08,27
12049,Blanco Balbas,Daniel Alfredo,M,18-99,12K,2:29:35,2:29:35,48
12048,Blanco Balbas,Eulises Antonio,M,18-99,12K,2:53:39,2:53:39,64
12011,Bonopaladino Obando,Nubia Elena,F,18-99,12K,2:33:33,2:33:33,49
50028,Bravo Pérez,Juan José,M,18-99,50K,13:31:51,13:31:51,30
25026,Caballero Vásquez,Tomas Alfonso,M,18-99,25K,5:44:50,5:44:50,50
12056,Cabana García,María Elena,F,18-99,12K,2:42:40,2:42:40,55
25010,Cachay Huaman,Humberto,M,18-99,25K,5:50:52,5:50:52,55
50007,Cangahuala Hinostroz,Walter Renzo,M,18-99,50K,11:00:51,11:00:51,18
25051,Carranza Cabezas,Patricia Beatriz,F,18-99,25K,7:40:11,7:40:11,77
12036,Carrillo Asenjo,Anita,F,18-99,12K,2:09:18,2:09:18,35
12008,Carrillo Vaccaro,Lourdes Patricia,F,18-99,12K,3:42:33,3:42:33,74
12017,Castillo Chirinos,Pedro Ernesto,M,18-99,12K,3:26:04,3:26:04,71
12062,Cerón Cancharis,Lasmit,F,18-99,12K,1:56:56,1:56:56,26
25033,Chalco Huaman,Robert David,M,18-99,25K,4:35:26,4:35:26,31
50050,Chaza Reta,Matias,M,18-99,50K,8:49:56,8:49:56,9
12098,Chumioque Vargas,Jean Paul,M,18-99,12K,2:38:28,2:38:28,53
12088,Chuquizuta Díaz,Mike,M,18-99,12K,1:56:03,1:56:03,24
12102,Clavo Chalaz,Anderson,M,18-99,12K,2:08:52,2:08:52,34
25097,Cobos,Maria Pilar,F,18-99,25K,5:47:57,5:47:57,53
12003,Cockburn Flores,Gabriela María,F,18-99,12K,2:46:53,2:46:53,59
12004,Contreras Parra,Brenda,F,18-99,12K,3:02:11,3:02:11,67
25019,Coquis Mejía,Ana Cecilia,F,18-99,25K,6:17:49,6:17:49,65
25069,Cosi Culqui,Carla,F,18-99,25K,4:20:58,4:20:58,26
12015,Cruz,Amarilis,F,18-99,12K,4:38:04,4:38:04,79
25066,Cruz Ampuero,Rafael,M,18-99,25K,3:02:52,3:02:52,7
25095,Culqui Puscan,Tito,M,18-99,25K,3:12:04,3:12:04,11
50011,Da Costa,Wanderley Henrique,M,18-99,50K,9:06:25,9:06:25,11
25011,Davila Davila,Jose Celso,M,18-99,25K,5:39:35,5:39:35,47
12072,Daza Tuesta,Edward Ivan,M,18-99,12K,1:55:52,1:55:52,23
80029,De La Cruz Palomino,Yemerson,M,18-99,80K,16:00:54,16:00:54,13
25055,Del Carpio,Alfredo,M,18-99,25K,3:28:24,3:28:24,15
12039,Del Castillo García,Fisher Mihaly,M,18-99,12K,2:18:29,2:18:29,40
50035,Delgado Espinoza,Max Francisco,M,18-99,50K,11:56:26,11:56:26,20
80027,Dett Gevol,Hugo,M,18-99,80K,15:07:14,15:07:14,11
80025,Dett Gevol,Francisco Javier,M,18-99,80K,14:10:06,14:10:06,8
50044,Dett Zelada,Jhoysi Mercedes,F,18-99,50K,10:24:35,10:24:35,16
12040,Díaz Altamirano,Jorge Luis,M,18-99,12K,2:53:43,2:53:43,65
12016,Esparrach,Mara,F,18-99,12K,2:59:58,2:59:58,66
25043,Fernández Armas,Daniel,M,18-99,25K,4:41:57,4:41:57,32
25058,Fernandez Valdivia,Daniel Alejandro,M,18-99,25K,4:08:46,4:08:46,21
12012,Flores Diez Canseco,Thalia,F,18-99,12K,4:32:45,4:32:45,77
12009,Flores Morales,Flora,F,18-99,12K,3:39:08,3:39:08,73
25024,Florian Hilares,Karin Yanina,F,18-99,25K,5:54:08,5:54:08,56
25037,Garcia Blasquez Turi,Sofía Eugenia,F,18-99,25K,5:28:39,5:28:39,42
12032,Garcia Rengifo,Julio Aniano,M,18-99,12K,2:29:29,2:29:29,47
25045,Garrido Chiozzani,Daniela,F,18-99,25K,6:08:32,6:08:32,59
25023,Gavilán Reynoso,Joel Félix,M,18-99,25K,5:33:01,5:33:01,43
80011,Gil Garcia,Jesus,M,18-99,80K,11:38:21,11:38:21,3
12010,Gomez-cornejo Arzola,Maripaz,F,18-99,12K,2:11:21,2:11:21,37
25059,Gonzalez Chavez,Juan Pablo,M,18-99,25K,3:30:42,3:30:42,17
12065,Gosgot Mas,Fernando,M,18-99,12K,1:56:39,1:56:39,25
50038,Graciano,Davy,M,18-99,50K,12:07:40,12:07:40,22
50021,Guillermo,Sandra Denisse,F,18-99,50K,13:01:47,13:01:47,26
12105,Gutiérrez Suárez,Cynthia Berenice,F,18-99,12K,2:50:51,2:50:51,62
25060,Hernández Puentes,David,M,18-99,25K,3:55:52,3:55:52,20
12050,Herrera Guevara,Jhoy Esmith,M,18-99,12K,1:45:00,1:45:00,17
12096,Herrera Occ,Jesus Israel,M,18-99,12K,1:40:11,1:40:11,15
12014,Herrera Polo,Carlos,M,18-99,12K,4:38:04,4:38:04,78
12033,Hilario Acosta,Luis Néstor,M,18-99,12K,1:52:40,1:52:40,21
25053,Hinostroza Barriento,Melina Dudy,F,18-99,25K,6:37:44,6:37:44,72
80034,Huaman,Gamariel,M,18-99,80K,10:53:53,10:53:53,2
25015,Huamán Carnero,Doris,F,18-99,25K,7:40:12,7:40:12,78
25086,Huaman Huaman,Roger,M,18-99,25K,2:57:32,2:57:32,6
12060,Huaman Puerta,Nervil,M,18-99,12K,1:23:24,1:23:24,5
25090,Huilca Vargas,Jose Santos,M,18-99,25K,2:36:44,2:36:44,2
25046,Igarza Arin,Kepa,M,18-99,25K,3:55:51,3:55:51,19
25064,Ilatoma Paredes,Roger,M,18-99,25K,2:41:27,2:41:27,3
25047,Imana,Lorena,F,18-99,25K,4:49:17,4:49:17,34
12054,Irigoin Regalado,Lorenzo,M,18-99,12K,1:17:06,1:17:06,1
50042,Izquierdo Mendoza,Saul,M,18-99,50K,8:41:49,8:41:49,8
25027,Jara Llanos,Walter,M,18-99,25K,5:45:30,5:45:30,52
12069,Jara Rojas,Franck Edison,M,18-99,12K,2:23:00,2:23:00,42
12020,Jimenez,Rachel Elaine,F,18-99,12K,3:03:30,3:03:30,68
12026,Jones,Brogan,F,18-99,12K,2:03:24,2:03:24,29
50019,Kanashiro Rosemberg,Javier,M,18-99,50K,10:50:04,10:50:04,17
12005,Landázuri Mujica,Francisco Ignacio,M,18-99,12K,2:18:13,2:18:13,39
25032,Lari,Marco,M,18-99,25K,3:05:27,3:05:27,8
12092,León Vasquez,Romil,M,18-99,12K,1:21:45,1:21:45,4
